v_low,g0_over_omega_rabi0,g0,oscillator_ratio,drag_lambda,t_gate,max_high_population,final_high_population,F_X,passes_leakage,passes_fidelity,passes_both
0.18,0.02,0.0016,3.0,-2.0,16.660811018093874,0.42329370540171724,0.24697954570895217,0.043563368976222684,0,0,0
0.18,0.02,0.0016,3.0,-1.5,16.660811018093874,0.292066392032012,0.13127796512817008,0.27187734630853544,0,0,0
0.18,0.02,0.0016,3.0,-1.0,16.660811018093874,0.22992072861897675,0.06376191352109095,0.5613045261621713,0,0,0
0.18,0.02,0.0016,3.0,-0.5,16.660811018093874,0.19780308210406378,0.0401423271880637,0.7435406394690083,0,0,0
0.18,0.02,0.0016,3.0,0.0,16.660811018093874,0.13997513582552765,0.02153430446239271,0.7997684160797772,0,0,0
0.18,0.02,0.0016,3.0,0.5,16.660811018093874,0.07858240852727134,0.003124528485434397,0.7435420697336048,0,0,0
0.18,0.02,0.0016,3.0,1.0,16.660811018093874,0.06542656666187703,0.01730939800218132,0.5613076100987393,0,0,0
0.18,0.02,0.0016,3.0,1.5,16.660811018093874,0.13240661389841554,0.043741869279512104,0.27187865691171814,0,0,0
0.18,0.02,0.0016,3.0,2.0,16.660811018093874,0.24967553037179435,0.0696055043234768,0.04356369862201385,0,0,0
0.18,0.02,0.0016,3.6,-2.0,16.660811018093874,0.14266783277812614,0.08263106146990216,0.15532957180734855,0,0,0
0.18,0.02,0.0016,3.6,-1.5,16.660811018093874,0.10401181305923544,0.02813106041057275,0.3990529558287598,0,0,0
0.18,0.02,0.0016,3.6,-1.0,16.660811018093874,0.08997240612397055,0.007480009698933607,0.679845925158074,0,0,0
0.18,0.02,0.0016,3.6,-0.5,16.660811018093874,0.07750609022858844,0.0018881562188557105,0.8938650282658261,0,0,0
0.18,0.02,0.0016,3.6,0.0,16.660811018093874,0.05716119443706762,0.00038921830227516344,0.9722262317121226,0,0,0
0.18,0.02,0.0016,3.6,0.5,16.660811018093874,0.03501104651616888,0.00015363850645178006,0.8938646739828745,0,0,0
0.18,0.02,0.0016,3.6,1.0,16.660811018093874,0.023112720270423312,0.0006241231684247165,0.6798470535000363,0,0,0
0.18,0.02,0.0016,3.6,1.5,16.660811018093874,0.03475398834017459,0.0017682408132250638,0.39905314479690823,0,0,0
0.18,0.02,0.0016,3.6,2.0,16.660811018093874,0.06978211462361976,0.007924056031496903,0.15532928104460184,0,0,0
0.18,0.02,0.0016,4.5,-2.0,16.660811018093874,0.02929119073389135,0.0015737662992070859,0.38655783155698337,0,0,0
0.18,0.02,0.0016,4.5,-1.5,16.660811018093874,0.024678394874299087,0.0006686160570938901,0.6055380754299248,0,0,0
0.18,0.02,0.0016,4.5,-1.0,16.660811018093874,0.022122109941782736,0.00020805167837980839,0.8066703661984215,0,0,0
0.18,0.02,0.0016,4.5,-0.5,16.660811018093874,0.01903811592526989,3.726021301637331e-05,0.9476250069664025,0,0,0
0.18,0.02,0.0016,4.5,0.0,16.660811018093874,0.015110490069965,1.552761380247594e-06,0.9982385169992004,0,0,0
0.18,0.02,0.0016,4.5,0.5,16.660811018093874,0.011220687623428588,2.1497484654016447e-06,0.9476252812605366,0,0,0
0.18,0.02,0.0016,4.5,1.0,16.660811018093874,0.009710082443170223,1.1954229409849601e-05,0.8066703067374223,0,0,0
0.18,0.02,0.0016,4.5,1.5,16.660811018093874,0.011015354739580973,9.892504301786059e-05,0.6055380542779695,0,0,0
0.18,0.02,0.0016,4.5,2.0,16.660811018093874,0.013004754682638115,0.0005402069934936283,0.3865581599433238,0,0,0
0.18,0.02,0.0016,5.5,-2.0,16.660811018093874,0.006457998721722743,2.677209249599131e-05,0.5560884962045504,0,0,0
0.18,0.02,0.0016,5.5,-1.5,16.660811018093874,0.005677539217762335,2.1687554369209837e-05,0.7281146665210786,0,0,0
0.18,0.02,0.0016,5.5,-1.0,16.660811018093874,0.005063046704825392,1.3848423062156425e-05,0.8709087800462618,0,0,0
0.18,0.02,0.0016,5.5,-0.5,16.660811018093874,0.004474055516062914,6.505902581175817e-06,0.965187161834579,0,0,0
0.18,0.02,0.0016,5.5,0.0,16.660811018093874,0.003945876143022754,1.7793262363832275e-06,0.998113856942643,0,0,0
0.18,0.02,0.0016,5.5,0.5,16.660811018093874,0.0037145194543346484,5.598564609329077e-08,0.9651874493417002,0,0,0
0.18,0.02,0.0016,5.5,1.0,16.660811018093874,0.004028765339179634,4.0807348391162033e-07,0.8709087625207164,0,0,0
0.18,0.02,0.0016,5.5,1.5,16.660811018093874,0.004506054315299205,1.4689509139600606e-06,0.7281146158472495,0,0,0
0.18,0.02,0.0016,5.5,2.0,16.660811018093874,0.004905852202672964,2.325322178327893e-06,0.5560884563345113,0,0,0
0.18,0.02,0.0016,7.0,-2.0,16.660811018093874,0.001658309734696745,1.7399939682988732e-06,0.7075848423472971,0,0,0
0.18,0.02,0.0016,7.0,-1.5,16.660811018093874,0.0015686958182909634,1.1017947065525658e-06,0.826947314786338,0,0,0
0.18,0.02,0.0016,7.0,-1.0,16.660811018093874,0.0014741702681639738,5.906813017198167e-07,0.9201201196134774,0,0,0
0.18,0.02,0.0016,7.0,-0.5,16.660811018093874,0.0013837571092936063,2.4555181178243724e-07,0.9793388223336221,0,0,0
0.18,0.02,0.0016,7.0,0.0,16.660811018093874,0.0013121692775006411,6.257012060438424e-08,0.9996462606889341,0,1,0
0.18,0.02,0.0016,7.0,0.5,16.660811018093874,0.001290654150540244,2.593447077136616e-09,0.9793387372899665,0,0,0
0.18,0.02,0.0016,7.0,1.0,16.660811018093874,0.0013431425878231344,9.948816816879083e-09,0.9201200616815882,0,0,0
0.18,0.02,0.0016,7.0,1.5,16.660811018093874,0.0014448323015386103,3.7017301431746e-08,0.8269470549457298,0,0,0
0.18,0.02,0.0016,7.0,2.0,16.660811018093874,0.0015694963742269165,6.833513807007557e-08,0.7075854311627804,0,0,0
0.18,0.03,0.0024,3.0,-2.0,16.660811018093874,0.7980163164899621,0.28924713967269366,0.038092982600089836,0,0,0
0.18,0.03,0.0024,3.0,-1.5,16.660811018093874,0.6571664632006601,0.07143613515711215,0.3270493364815642,0,0,0
0.18,0.03,0.0024,3.0,-1.0,16.660811018093874,0.5559319447409157,0.02869345443542326,0.676027751987012,0,0,0
0.18,0.03,0.0024,3.0,-0.5,16.660811018093874,0.5167486966566931,0.06947042214031207,0.6844712213234835,0,0,0
0.18,0.03,0.0024,3.0,0.0,16.660811018093874,0.43248070516958664,0.09004126335913394,0.6046375397602293,0,0,0
0.18,0.03,0.0024,3.0,0.5,16.660811018093874,0.313272931520031,0.025473526428489306,0.6844715699492477,0,0,0
0.18,0.03,0.0024,3.0,1.0,16.660811018093874,0.2781022620959802,0.00918959817564617,0.6760286010653823,0,0,0
0.18,0.03,0.0024,3.0,1.5,16.660811018093874,0.42945719016590467,0.018831367269034057,0.32705002384620147,0,0,0
0.18,0.03,0.0024,3.0,2.0,16.660811018093874,0.6615309750553591,0.16598992649572764,0.038093323463978215,0,0,0
0.18,0.03,0.0024,3.6,-2.0,16.660811018093874,0.4261312815704002,0.2555727261555306,0.16707558080076296,0,0,0
0.18,0.03,0.0024,3.6,-1.5,16.660811018093874,0.3267827442399753,0.05660728687983057,0.45875371620197,0,0,0
0.18,0.03,0.0024,3.6,-1.0,16.660811018093874,0.28505121454515564,0.0060067505447044985,0.7547090128570194,0,0,0
0.18,0.03,0.0024,3.6,-0.5,16.660811018093874,0.2610652313326486,0.002082307671227326,0.9060136187174428,0,0,0
0.18,0.03,0.0024,3.6,0.0,16.660811018093874,0.21389479143746823,0.0018928655761638043,0.9386218872302226,0,0,0
0.18,0.03,0.0024,3.6,0.5,16.660811018093874,0.15240935177662293,0.0013121361334127442,0.9060142130784513,0,0,0
0.18,0.03,0.0024,3.6,1.0,16.660811018093874,0.10430852519529665,0.0008232667972763354,0.7547096295080488,0,0,0
0.18,0.03,0.0024,3.6,1.5,16.660811018093874,0.13888698491238263,0.008088845583369177,0.45875426556623305,0,0,0
0.18,0.03,0.0024,3.6,2.0,16.660811018093874,0.2500672687077957,0.05303358917392796,0.16707556888568542,0,0,0
0.18,0.03,0.0024,4.5,-2.0,16.660811018093874,0.11553339382290786,0.008946420207732297,0.4794354917862588,0,0,0
0.18,0.03,0.0024,4.5,-1.5,16.660811018093874,0.09544212660266216,0.003195385572747644,0.6825183779658365,0,0,0
0.18,0.03,0.0024,4.5,-1.0,16.660811018093874,0.0869996953714293,0.0006994646179797546,0.8505174364704048,0,0,0
