point_label,noise_kind,gamma_phi0_over_omega_rabi0,v_low,g0_over_omega_rabi0,oscillator_ratio,t_gate,gamma_phi_effective,gamma_decay,F_g,mean_six_state_fidelity,min_six_state_fidelity,max_high_population,passes_leakage,passes_state_transfer,passes_six_state_proxy
r002_v024_ratio3,white,0.0001,0.24,0.02,3.0,19.23824745242796,8.000000000000001e-06,0.0,0.9993316050874815,0.9992725807749844,0.9992234956036246,0.0007828939961962828,1,1,1
r002_v024_ratio3,1/f,0.0001,0.24,0.02,3.0,19.23824745242796,3.333333333333334e-05,0.0,0.9991873085714735,0.9989403614043488,0.9987367993422127,0.0007834249729805104,1,1,0
r002_v024_ratio3,white,0.0003,0.24,0.02,3.0,19.23824745242796,2.3999999999999997e-05,0.0,0.9992404659558923,0.9990627291074804,0.9989160558431857,0.0007832293666074812,1,1,1
r002_v024_ratio3,1/f,0.0003,0.24,0.02,3.0,19.23824745242796,9.999999999999999e-05,0.0,0.998807765235991,0.9980672862181964,0.9974581799797265,0.0007848215965082663,1,0,0
r002_v024_ratio3,white,0.001,0.24,0.02,3.0,19.23824745242796,8e-05,0.0,0.9989216001949802,0.9983290283838221,0.9978414373473317,0.0007844027134843142,1,0,0
r002_v024_ratio3,1/f,0.001,0.24,0.02,3.0,19.23824745242796,0.0003333333333333334,0.0,0.9974814641012408,0.9950250140562035,0.9930075674179205,0.0007900465716005228,1,0,0
r002_v024_ratio3,white,0.0025,0.24,0.02,3.0,19.23824745242796,0.0002,0.0,0.9982389506851082,0.9967608905982775,0.9955461071619899,0.0007869750804648163,1,0,0
r002_v024_ratio3,1/f,0.0025,0.24,0.02,3.0,19.23824745242796,0.0008333333333333334,0.0,0.9946503504496665,0.9885759225426186,0.983597883895318,0.000801526144554839,1,0,0
r002_v024_ratio3,white,0.01,0.24,0.02,3.0,19.23824745242796,0.0008,0.0,0.9948386279577172,0.9890029128014096,0.9842198408244067,0.0008007627285290964,1,0,0
r002_v024_ratio3,1/f,0.01,0.24,0.02,3.0,19.23824745242796,0.0033333333333333335,0.0,0.9807154960599345,0.9577134778602864,0.9390517265501984,0.0008635758414005994,1,0,0
