point_label,noise_kind,input_state,v_low,g0_over_omega_rabi0,oscillator_ratio,t_gate,state_fidelity,max_high_population,final_high_population,gamma_phi,gamma_decay
fast_r002_ratio3,none,g,0.24,0.02,3.0,19.23824745242796,0.9993771804269185,0.0007827262895779223,1.9004524420007058e-07,0.0,0.0
fast_r002_ratio3,none,e,0.24,0.02,3.0,19.23824745242796,0.9993771804269187,0.000782726289577922,1.9004524420007063e-07,0.0,0.0
fast_r002_ratio3,none,plus,0.24,0.02,3.0,19.23824745242796,0.9993772832023236,0.0007827176601261758,1.8895957183063367e-07,0.0,0.0
fast_r002_ratio3,none,minus,0.24,0.02,3.0,19.23824745242796,0.9993772832023239,0.0007827176601261747,1.8895957183041059e-07,0.0,0.0
fast_r002_ratio3,none,plus_i,0.24,0.02,3.0,19.23824745242796,0.9993781677334715,0.0007827183725340036,1.912653725604566e-07,0.0,0.0
fast_r002_ratio3,none,minus_i,0.24,0.02,3.0,19.23824745242796,0.9993781677334715,0.0007827183725340036,1.9126537256045657e-07,0.0,0.0
fast_r002_ratio3,white,g,0.24,0.02,3.0,19.23824745242796,0.9982389506851082,0.0007869750804648163,1.0220707850170453e-05,0.0002,0.0
fast_r002_ratio3,white,e,0.24,0.02,3.0,19.23824745242796,0.9982389506851127,0.0007869750804648122,1.022070785016908e-05,0.0002,0.0
fast_r002_ratio3,white,plus,0.24,0.02,3.0,19.23824745242796,0.9955461071619899,0.0007869656946598562,1.0219637946298633e-05,0.0002,0.0
fast_r002_ratio3,white,minus,0.24,0.02,3.0,19.23824745242796,0.9955461071619899,0.0007869656946598562,1.0219637946298675e-05,0.0002,0.0
fast_r002_ratio3,white,plus_i,0.24,0.02,3.0,19.23824745242796,0.9964976139477325,0.0007869665676307841,1.0221985833285005e-05,0.0002,0.0
fast_r002_ratio3,white,minus_i,0.24,0.02,3.0,19.23824745242796,0.9964976139477324,0.0007869665676307841,1.0221985833284764e-05,0.0002,0.0
fast_r002_ratio3,1/f,g,0.24,0.02,3.0,19.23824745242796,0.9946503504496665,0.000801526144554839,4.236048095920904e-05,0.0008333333333333334,0.0
fast_r002_ratio3,1/f,e,0.24,0.02,3.0,19.23824745242796,0.9946503504496781,0.0008015261445548388,4.236048095922957e-05,0.0008333333333333334,0.0
fast_r002_ratio3,1/f,plus,0.24,0.02,3.0,19.23824745242796,0.983597883895318,0.0008015166692402945,4.235945449149553e-05,0.0008333333333333334,0.0
fast_r002_ratio3,1/f,minus,0.24,0.02,3.0,19.23824745242796,0.983597883895318,0.000801516669240295,4.235945449149608e-05,0.0008333333333333334,0.0
fast_r002_ratio3,1/f,plus_i,0.24,0.02,3.0,19.23824745242796,0.9874795332828653,0.000801517544807081,4.2361892110987815e-05,0.0008333333333333334,0.0
fast_r002_ratio3,1/f,minus_i,0.24,0.02,3.0,19.23824745242796,0.9874795332828653,0.0008015175448070794,4.236189211099041e-05,0.0008333333333333334,0.0
fast_r003_ratio45,none,g,0.24,0.03,4.5,19.23824745242796,0.9998236015911196,0.0003902533852505219,1.490843888251076e-08,0.0,0.0
fast_r003_ratio45,none,e,0.24,0.03,4.5,19.23824745242796,0.9998236015911195,0.0003902533852505199,1.4908438880766105e-08,0.0,0.0
fast_r003_ratio45,none,plus,0.24,0.03,4.5,19.23824745242796,0.9998233361122597,0.0003902533796013262,1.4827189527465078e-08,0.0,0.0
fast_r003_ratio45,none,minus,0.24,0.03,4.5,19.23824745242796,0.9998233361122597,0.000390253379601328,1.4827189526200832e-08,0.0,0.0
fast_r003_ratio45,none,plus_i,0.24,0.03,4.5,19.23824745242796,0.9998240523804818,0.0003902542498215966,1.5317311310969288e-08,0.0,0.0
fast_r003_ratio45,none,minus_i,0.24,0.03,4.5,19.23824745242796,0.9998240523804821,0.00039025424982159655,1.5317311310969297e-08,0.0,0.0
fast_r003_ratio45,white,g,0.24,0.03,4.5,19.23824745242796,0.998684374531702,0.00039927089062825004,6.48341193517066e-06,0.0002,0.0
fast_r003_ratio45,white,e,0.24,0.03,4.5,19.23824745242796,0.9986843745317017,0.0003992708906282515,6.483411935170712e-06,0.0002,0.0
fast_r003_ratio45,white,plus,0.24,0.03,4.5,19.23824745242796,0.9959905464678082,0.00039927088501904727,6.4833334303687835e-06,0.0002,0.0
fast_r003_ratio45,white,minus,0.24,0.03,4.5,19.23824745242796,0.995990546467808,0.0003992708850190448,6.483333430370321e-06,0.0002,0.0
fast_r003_ratio45,white,plus_i,0.24,0.03,4.5,19.23824745242796,0.9969673391751992,0.00039927175798345376,6.483817876838751e-06,0.0002,0.0
fast_r003_ratio45,white,minus_i,0.24,0.03,4.5,19.23824745242796,0.9969673391751991,0.0003992717579834552,6.483817876838631e-06,0.0002,0.0
fast_r003_ratio45,1/f,g,0.24,0.03,4.5,19.23824745242796,0.9950918281877534,0.00042789780990626337,2.7248763105473753e-05,0.0008333333333333334,0.0
fast_r003_ratio45,1/f,e,0.24,0.03,4.5,19.23824745242796,0.9950918281877534,0.00042789780990626326,2.7248763105473757e-05,0.0008333333333333334,0.0
fast_r003_ratio45,1/f,plus,0.24,0.03,4.5,19.23824745242796,0.9840385344866952,0.00042789782504017626,2.724866762807347e-05,0.0008333333333333334,0.0
fast_r003_ratio45,1/f,minus,0.24,0.03,4.5,19.23824745242796,0.9840385344866955,0.00042789782504017913,2.7248667628077138e-05,0.0008333333333333334,0.0
fast_r003_ratio45,1/f,plus_i,0.24,0.03,4.5,19.23824745242796,0.9880227007316024,0.0004278987057312146,2.724916558628354e-05,0.0008333333333333334,0.0
fast_r003_ratio45,1/f,minus_i,0.24,0.03,4.5,19.23824745242796,0.9880227007316024,0.00042789870573121453,2.7249165586283545e-05,0.0008333333333333334,0.0
fast_r004_ratio55,none,g,0.24,0.04,5.5,19.23824745242796,0.9999978768844824,0.0005945233270919177,6.149639714614871e-10,0.0,0.0
fast_r004_ratio55,none,e,0.24,0.04,5.5,19.23824745242796,0.9999978768844824,0.0005945233270919177,6.149639714614872e-10,0.0,0.0
fast_r004_ratio55,none,plus,0.24,0.04,5.5,19.23824745242796,0.9999977636621166,0.000594522705312123,4.938988849911027e-10,0.0,0.0
fast_r004_ratio55,none,minus,0.24,0.04,5.5,19.23824745242796,0.9999977636621167,0.0005945227053121289,4.938988853136051e-10,0.0,0.0
fast_r004_ratio55,none,plus_i,0.24,0.04,5.5,19.23824745242796,0.9999977821057573,0.0005945223679477152,2.9154612353802604e-10,0.0,0.0
fast_r004_ratio55,none,minus_i,0.24,0.04,5.5,19.23824745242796,0.9999977821057573,0.0005945223679477153,2.91546123538026e-10,0.0,0.0
fast_r004_ratio55,white,g,0.24,0.04,5.5,19.23824745242796,0.9988497692619936,0.0006031908732437686,8.49459242329381e-06,0.0002,0.0
fast_r004_ratio55,white,e,0.24,0.04,5.5,19.23824745242796,0.9988497692619939,0.0006031908732437686,8.494592423293814e-06,0.0002,0.0
fast_r004_ratio55,white,plus,0.24,0.04,5.5,19.23824745242796,0.9961642271718745,0.0006031902706306744,8.494479370719567e-06,0.0002,0.0
fast_r004_ratio55,white,minus,0.24,0.04,5.5,19.23824745242796,0.9961642271718747,0.0006031902706306771,8.494479370720235e-06,0.0002,0.0
fast_r004_ratio55,white,plus_i,0.24,0.04,5.5,19.23824745242796,0.9971259280672733,0.0006031899390220496,8.494279965820221e-06,0.0002,0.0
fast_r004_ratio55,white,minus_i,0.24,0.04,5.5,19.23824745242796,0.9971259280672733,0.0006031899390220494,8.494279965818488e-06,0.0002,0.0
fast_r004_ratio55,1/f,g,0.24,0.04,5.5,19.23824745242796,0.9952290347404938,0.0006309926325156315,3.5745527551781025e-05,0.0008333333333333334,0.0
fast_r004_ratio55,1/f,e,0.24,0.04,5.5,19.23824745242796,0.9952290347404943,0.0006309926325156313,3.574552755178104e-05,0.0008333333333333334,0.0
fast_r004_ratio55,1/f,plus,0.24,0.04,5.5,19.23824745242796,0.984208866516317,0.0006309916460893276,3.574544021585782e-05,0.0008333333333333334,0.0
fast_r004_ratio55,1/f,minus,0.24,0.04,5.5,19.23824745242796,0.9842088665163167,0.0006309916460893218,3.5745440215855885e-05,0.0008333333333333334,0.0
fast_r004_ratio55,1/f,plus_i,0.24,0.04,5.5,19.23824745242796,0.9881336185829774,0.0006309914810193798,3.574525022867212e-05,0.0008333333333333334,0.0
fast_r004_ratio55,1/f,minus_i,0.24,0.04,5.5,19.23824745242796,0.9881336185829772,0.0006309914810193797,3.57452502286721e-05,0.0008333333333333334,0.0
fast_r005_ratio7,none,g,0.24,0.05,7.0,19.23824745242796,0.9999912366286622,0.0004443819563575841,1.5213254649173117e-10,0.0,0.0
fast_r005_ratio7,none,e,0.24,0.05,7.0,19.23824745242796,0.9999912366286621,0.00044438195635758415,1.521325446939844e-10,0.0,0.0
fast_r005_ratio7,none,plus,0.24,0.05,7.0,19.23824745242796,0.9999912526230967,0.0004443848482028119,2.1097532217666255e-10,0.0,0.0
fast_r005_ratio7,none,minus,0.24,0.05,7.0,19.23824745242796,0.9999912526230964,0.0004443848482028134,2.1097532621695886e-10,0.0,0.0
fast_r005_ratio7,none,plus_i,0.24,0.05,7.0,19.23824745242796,0.9999912325163789,0.0004443846986505487,1.9884050798529706e-10,0.0,0.0
fast_r005_ratio7,none,minus_i,0.24,0.05,7.0,19.23824745242796,0.9999912325163787,0.0004443846986505488,1.98840507985297e-10,0.0,0.0
fast_r005_ratio7,white,g,0.24,0.05,7.0,19.23824745242796,0.9988474325654416,0.00045423078858188937,7.5216932088886666e-06,0.0002,0.0
fast_r005_ratio7,white,e,0.24,0.05,7.0,19.23824745242796,0.9988474325654421,0.0004542307885818862,7.521693208888061e-06,0.0002,0.0
fast_r005_ratio7,white,plus,0.24,0.05,7.0,19.23824745242796,0.9961577777850339,0.0004542336696396221,7.521752729426907e-06,0.0002,0.0
fast_r005_ratio7,white,minus,0.24,0.05,7.0,19.23824745242796,0.996157777785034,0.0004542336696396162,7.5217527294254465e-06,0.0002,0.0
fast_r005_ratio7,white,plus_i,0.24,0.05,7.0,19.23824745242796,0.9971258956451822,0.0004542335266112218,7.5217408180651995e-06,0.0002,0.0
fast_r005_ratio7,white,minus_i,0.24,0.05,7.0,19.23824745242796,0.9971258956451818,0.00045423352661122176,7.521740818065198e-06,0.0002,0.0
fast_r005_ratio7,1/f,g,0.24,0.05,7.0,19.23824745242796,0.9952403208138383,0.00048581763995354137,3.1658442005755856e-05,0.0008333333333333334,0.0
fast_r005_ratio7,1/f,e,0.24,0.05,7.0,19.23824745242796,0.9952403208138383,0.00048581763995354126,3.165844200575585e-05,0.0008333333333333334,0.0
fast_r005_ratio7,1/f,plus,0.24,0.05,7.0,19.23824745242796,0.9842031259582649,0.00048582100884143984,3.1658930169661226e-05,0.0008333333333333334,0.0
fast_r005_ratio7,1/f,minus,0.24,0.05,7.0,19.23824745242796,0.9842031259582648,0.00048582100884143366,3.1658930169660975e-05,0.0008333333333333334,0.0
fast_r005_ratio7,1/f,plus_i,0.24,0.05,7.0,19.23824745242796,0.9881541088881859,0.0004858209606094972,3.165849288223703e-05,0.0008333333333333334,0.0
fast_r005_ratio7,1/f,minus_i,0.24,0.05,7.0,19.23824745242796,0.988154108888186,0.0004858209606094972,3.165849288223704e-05,0.0008333333333333334,0.0
near_fail_v018,none,g,0.18,0.02,7.0,16.660811018093874,0.9996464996893413,0.0013121686474912432,6.058345482462551e-08,0.0,0.0
near_fail_v018,none,e,0.18,0.02,7.0,16.660811018093874,0.9996464996893413,0.0013121686474912428,6.058345482462551e-08,0.0,0.0
near_fail_v018,none,plus,0.18,0.02,7.0,16.660811018093874,0.9996462149940842,0.0013121693755632211,6.0300333716474e-08,0.0,0.0
